Level 3,Level 2,Level 1,Number of activities
Science,"Animals, Plants, & Humans",The Human Body,2
Science,"Animals, Plants, & Humans",Mammals,12
Science,"Animals, Plants, & Humans",Birds,5
Science,"Animals, Plants, & Humans",Scientists,3
Science,"Animals, Plants, & Humans",Plants,9
Science,"Animals, Plants, & Humans",Insects,4
Science,"Animals, Plants, & Humans",Various Animals,11
Science,"Animals, Plants, & Humans",Reptiles & Amphibians,3
Science,"Animals, Plants, & Humans",Marine Animals,9
Science,"Animals, Plants, & Humans",The Human Brain,3
Science,Science Ethics & Experiments,Experiments & Studies,5
Science,Science Ethics & Experiments,Ethics in Science,4
Science,Environmental Protection,Recycling & Pollution,6
Science,Environmental Protection,Climate Change,13
Science,Earth Science,Earth & its Biomes,17
Science,Earth Science,Weather & Climate,5
Science,Earth Science,Natural Disasters,9
Science,Earth Science,National Parks,5
Science,Earth Science,Geology,6
Science,Earth Science,Outer Space,17
Social Studies,U.S. History,American Revolution,8
Social Studies,U.S. History,Black History,18
Social Studies,U.S. History,Native Americans,7
Social Studies,U.S. History,Places in the U.S.,6
Social Studies,U.S. History,Space Race,4
Social Studies,U.S. History,Aviation,2
Social Studies,U.S. History,Colonial America,11
Social Studies,U.S. History,20th Century America,19
Social Studies,U.S. History,Government & Politics,5
Social Studies,U.S. History,Hawaiian History,3
Social Studies,World History,Asian Countries & Cultures,17
Social Studies,World History,African Countries & Cultures,7
Social Studies,World History,Latin American Countries & Cultures,5
Social Studies,World History,Women in History,14
Social Studies,World History,European Countries & Cultures,10
Social Studies,World History,South American Countries & Cultures,4
Social Studies,World History,Ancient Civilizations,7
Social Studies,World History,Movements and Eras,3
Social Studies,World History,"Maya, Aztec, & Inca Civilizations",5
Social Studies,World History,Inventions & Discoveries,5
Social Studies,World History,Civil Rights,10
Society & The Arts,Art & Artifacts,Architecture & Artifacts,7
Society & The Arts,Art & Artifacts,Art & Artists,5
Society & The Arts,ELA,Authors,4
Society & The Arts,ELA,Pre-AP English 1 Literature,20
Society & The Arts,ELA,Narratives,44
Society & The Arts,Cultures & Peoples,Holidays,10
Society & The Arts,Cultures & Peoples,Myths & Legends,16
Society & The Arts,Daily Life,Food,14
Society & The Arts,Daily Life,Internet & Technology,7
Society & The Arts,Daily Life,Music,14
Society & The Arts,Daily Life,Sports & Recreation,40
Society & The Arts,Daily Life,School Policy,8
Society & The Arts,Daily Life,Careers,11
Society & The Arts,Daily Life,Pop Culture,10
